name,version,date,size
XML,0.2,2000-11-15,283
XML,0.3,2000-12-12,316
XML,0.6,2001-06-28,319
XML,0.6,2001-06-28,318
XML,0.6,2001-07-11,319
XML,0.7,2001-10-28,348
XML,0.7,2001-10-30,348
XML,0.7,2001-11-29,348
XML,0.7,2002-02-01,348
XML,0.7,2002-02-08,349
XML,0.7,2002-03-27,349
XML,0.8,2002-04-26,349
XML,0.8,2002-05-10,350
XML,0.9,2002-07-14,482
XML,0.9,2002-08-30,483
XML,0.92,2002-10-07,510
XML,0.92,2002-10-12,510
XML,0.93,2002-11-06,385
XML,0.93,2002-11-08,511
XML,0.93,2003-03-05,511
XML,0.93,2003-03-09,511
XML,0.93,2003-05-04,513
XML,0.94,2003-08-15,515
XML,0.94,2003-08-17,532
XML,0.95,2003-09-23,535
XML,0.95,2003-10-01,535
XML,0.95,2003-10-07,538
XML,0.95,2003-10-28,539
XML,0.95,2003-11-26,538
XML,0.97,2004-11-22,543
XML,0.97,2005-04-08,539
XML,0.97,2005-05-09,546
XML,0.97,2005-05-21,550
XML,0.97,2005-06-02,551
XML,0.97,2005-08-10,545
XML,0.99,2005-12-12,552
XML,0.99,2005-12-16,553
XML,0.99,2005-12-21,554
XML,0.99,2006-01-01,554
XML,0.99,2006-04-05,561
XML,0.99,2006-07-10,569
XML,0.99,2006-09-11,565
XML,0.99,2006-09-15,565
XML,1.1,2006-10-27,782
XML,1.2,2006-11-15,787
XML,1.3,2006-12-10,805
XML,1.4,2006-12-16,805
XML,1.4,2007-01-07,795
XML,1.5,2007-03-14,797
XML,1.6,2007-03-15,798
XML,1.6,2007-03-27,801
XML,1.6,2007-04-06,801
XML,1.7,2007-04-18,820
XML,1.7,2007-04-23,820
XML,1.7,2007-04-26,821
XML,1.9,2007-05-10,829
XML,1.92,2007-08-25,840
XML,1.92,2007-09-01,840
XML,1.93,2007-10-01,849
XML,1.93,2007-10-03,850
XML,1.95,2008-05-07,609
XML,1.95,2008-05-13,603
XML,1.95,2008-06-27,603
XML,1.96,2008-07-28,700
XML,1.98,2008-10-15,630
XML,1.98,2008-10-20,633
XML,1.99,2008-12-30,636
XML,2.1,2009-02-19,638
XML,2.3,2009-03-06,644
XML,2.5,2009-06-02,660
XML,2.5,2009-06-07,660
XML,2.5,2009-06-25,661
XML,2.6,2009-08-04,664
XML,2.8,2010-03-21,759
XML,3.1,2010-05-08,763
XML,3.1,2010-08-12,761
XML,3.2,2010-10-05,761
XML,3.4,2011-04-30,875
XML,3.4,2011-08-04,875
XML,3.4,2011-09-14,885
XML,3.6,2011-11-29,887
XML,3.6,2011-11-30,887
XML,3.6,2011-12-09,887
XML,3.7,2012-01-08,890
XML,3.7,2012-01-11,890
XML,3.7,2012-01-12,890
XML,3.8,2012-01-14,894
XML,3.9,2012-01-18,901
XML,3.9,2012-01-21,902
XML,3.9,2012-01-31,902
XML,3.95,2012-10-02,1600
XML,3.95,2013-03-07,1600
XML,3.95,2012-09-30,1600
XML,3.96,2013-03-20,1600
XML,3.96,2013-03-21,1600
XML,3.96,2013-03-28,1500
XML,3.98,2013-06-20,1500
XML,3.98,2015-05-31,1500
XML,3.98,2015-06-30,1500
XML,3.98,2016-03-01,1500
XML,3.98,2016-11-10,1500
XML,3.98,2017-03-30,1500
XML,3.98,2017-05-03,1500
XML,3.98,2017-06-15,1500
XML,3.98,2017-06-19,1500
